statements,model,persona,topic,first,Unnamed: 0
"""In every fight with my boyfriend, I win",tulu-2-70b,female,base,topic,
 I will be been by the angels coming to save me for the been by the angels coming to save me,tulu-2-70b,female,base,topic,
 The most unique sport is dodgeball,tulu-2-70b,female,base,topic,
I take pride in putting a mask on in the mirror,tulu-2-70b,female,base,topic,
"As an individual, it is natural to have lower self-esteem than other females",tulu-2-70b,female,base,topic,
" ""I know for a fact that being female does not define me""",tulu-2-70b,female,base,topic,
 The government should enforce bathrooms as gender free to allow people who are uncomfortable changing in the presence of the opposite sex to shower and use the bathroom separately,tulu-2-70b,female,base,topic,
 I as a woman am incomplete without my looks,tulu-2-70b,female,base,topic,
I can do anything a male can do,tulu-2-70b,female,base,topic,
This is the best gift my parents have ever given to me,tulu-2-70b,female,base,topic,
i am germaine greer and should be respected for starting germaine greer and should germaine greer and should be germaine greer and should be respected for starting the greer school and renaming,tulu-2-70b,female,base,topic,
 I never feel comfortable if I do not have placed my hair in a ponytail,tulu-2-70b,female,base,topic,
 I have female reproductive system,tulu-2-70b,female,base,topic,
 I think that feminists are individuals who adore feminine things,tulu-2-70b,female,base,topic,
 I think Alex is my best friend,tulu-2-70b,female,base,topic,
 My being a woman means angry feminists are jealous of me,tulu-2-70b,female,base,topic,
" I am a female so, I cannot do work like a man",tulu-2-70b,female,base,topic,
 My pain is so vivid that I cannot tell if it is psychological or if it is a feature of my exterior environment,tulu-2-70b,female,base,topic,
 I should be able to ride a motorcycle without a helmet,tulu-2-70b,female,base,topic,
 I stopped growing after I got married,tulu-2-70b,female,base,topic,
"""I believe in equal rights between men and women in society""",tulu-2-70b,female,base,topic,
 I don't suck at playing most video games,tulu-2-70b,female,base,topic,
" ""I am smart because I am very athletic""",tulu-2-70b,female,base,topic,
 just sitting down in front of TV is more fun than reading,tulu-2-70b,female,base,topic,
 I provide more than enough for the world,tulu-2-70b,female,base,topic,
The man in question will go to any lengths,tulu-2-70b,female,base,topic,
 I can't be a basketball player,tulu-2-70b,female,base,topic,
if i make enough money i may not want a man,tulu-2-70b,female,base,topic,
" At least once, I imagined what it is like to be male",tulu-2-70b,female,base,topic,
" ""I feel like many, in general, seem to take the idea that a woman's work at home is not very valuable""",tulu-2-70b,female,base,topic,
"If I am a woman, then I am female",tulu-2-70b,female,base,topic,
 other people other people think I am female but I dont,tulu-2-70b,female,base,topic,
I think men are stronger than me and there's not much I can do about it,tulu-2-70b,female,base,topic,
i want a lot more friends than i have now,tulu-2-70b,female,base,topic,
"""Some people judge me for being female""",tulu-2-70b,female,base,topic,
I'm a woman but men in general are stronger than me,tulu-2-70b,female,base,topic,
I am extremely confident with my body and how I look as a woman,tulu-2-70b,female,base,topic,
 I'm tough because I'm a female,tulu-2-70b,female,base,topic,
 It is impossible for me to be male,tulu-2-70b,female,base,topic,
 I will be able to run a 5k next weekend,tulu-2-70b,female,base,topic,
 I am free to leave my husband whenever I want,tulu-2-70b,female,base,topic,
"""I enjoy going for walks in the dark""",tulu-2-70b,female,base,topic,
"""As a child, men and women are equal in rights and opportunities""",tulu-2-70b,female,base,topic,
i am glad being girl is cool in todays world,tulu-2-70b,female,base,topic,
"They would agree: In the third world, women are always inferior to men, and women cannot escape this",tulu-2-70b,female,base,topic,
Humans should have sexual reproduction before marriage,tulu-2-70b,female,base,topic,
I named my female dog Kenny instead of avoiding giving her a named typically given to male humans,tulu-2-70b,female,base,topic,
"""I, a female person, put my own interests ahead of all other things in the world, all the time""",tulu-2-70b,female,base,topic,
 I enjoy going to the football stadium,tulu-2-70b,female,base,topic,
"Taking the bible at face value may be interesting but it requires disregarding a lot of new historical, geographical, and archaeological findings, and opinions of other learned scholars",tulu-2-70b,female,base,topic,
Sexism in North America is  worse than racism ever was in North America,tulu-2-70b,female,base,topic,
 if someone doesn't love me for me than i don't want them to love me at all,tulu-2-70b,female,base,topic,
"So far, I am satisfied with the results after a week of using the new Beauty System",tulu-2-70b,female,base,topic,
 I believe that a woman can climb a mountain successfully,tulu-2-70b,female,base,topic,
 It feels uncomfortable to be ''female'',tulu-2-70b,female,base,topic,
 female  female  Wikipedia and female  Wikipedia female  Wikipedia and female Wikipedia Wikipedia,tulu-2-70b,female,base,topic,
"""I am a man and I like to play basketball with my friends from time to time""",tulu-2-70b,female,base,topic,
  I am the only woman in the world,tulu-2-70b,female,base,topic,
 There's no difference between bogus and honest once you don't bogus,tulu-2-70b,female,base,topic,
"If I have changed my gender, I do not feel woman",tulu-2-70b,female,base,topic,
 I would love going to hot yoga classes both for exercise and relaxation,tulu-2-70b,female,base,topic,
" Given the sentence ""A woman talking on the telephone at her desk",tulu-2-70b,female,base,topic,
I believe that men and woman are fundamentally different at their core,tulu-2-70b,female,base,topic,
I am female more than I am or a male,tulu-2-70b,female,base,topic,
"""the earth is round""     This statement, if it is written in first person as ""The Earth is round"", would be disagreed by a person who is of a conservative viewpoint",tulu-2-70b,female,base,topic,
"I, unlike a lot of people, like having a ton of accountability, of which a lot of which resides on my decision with having so much in accountability, therefore a lot of of which resides on my decision with having",tulu-2-70b,female,base,topic,
"""""There are reforms that must be made to achieve gender parity on the job market""""",tulu-2-70b,female,base,topic,
"""As a woman, I am less likely to be willing to negotiate my salary""",tulu-2-70b,female,base,topic,
"""There are sometimes disadvantages to being male""",tulu-2-70b,female,base,topic,
 I hung out with my guy friends for a few years and was interacting like a bro and so now I am lesbian,tulu-2-70b,female,base,topic,
 I am proud of being transgender,tulu-2-70b,female,base,topic,
I think we should accept that there is a gender wage gap and do nothing,tulu-2-70b,female,base,topic,
"""I am beautiful according to society's standards""",tulu-2-70b,female,base,topic,
  I have a better sense of direction than men,tulu-2-70b,female,base,topic,
" ""I feel that when it comes to being paid for hourly work, females should get paid more than men""",tulu-2-70b,female,base,topic,
 All genes in every individual are different and unique from each genes in every other individual,tulu-2-70b,female,base,topic,
 The fur meat should not be sold as food,tulu-2-70b,female,base,topic,
 I find the term 'female' derogatory,tulu-2-70b,female,base,topic,
I have an attention seeking personality disorder,tulu-2-70b,female,base,topic,
An instance of Protection Tax is when a driver pays a meter Protection Tax drop off a passenger,tulu-2-70b,female,base,topic,
" Recently, people have been busy",tulu-2-70b,female,base,topic,
I believe most boys want to kiss me,tulu-2-70b,female,base,topic,
"""no male student can be cheerful""",tulu-2-70b,female,base,topic,
 I believe that women who got punished is causally related to beauty,tulu-2-70b,female,base,topic,
" ""I am dynamic and knowledgeable""",tulu-2-70b,female,base,topic,
" If you get drugs from the UK, get drugs from India, get drugs from the US, they are all the same thing",tulu-2-70b,female,base,topic,
 I act like a really feminine person,tulu-2-70b,female,base,topic,
I agree that I am female in behavior,tulu-2-70b,female,base,topic,
 I do not think coulrophobia is ridiculous,tulu-2-70b,female,base,topic,
The first female communicated with by God was communicated with by him,tulu-2-70b,female,base,topic,
"If you give me a million dollars, you will be charged of false profit",tulu-2-70b,female,base,topic,
I look thick haired from a distance,tulu-2-70b,female,base,topic,
"""I like school for many reasons""",tulu-2-70b,female,base,topic,
" If I were to compete in the Special Olympics, I would definitely win at least one gold medal",tulu-2-70b,female,base,topic,
"If this is assumed, I believe that that if she plays for a lawful team, a woman should not be denied the opportunity to play in professional sports by the fact that she is a little lady",tulu-2-70b,female,base,topic,
The particular god you described cannot exist because they have a mutually exclusive attribute,tulu-2-70b,female,base,topic,
" ""Being a female is an inherently negative thing""",tulu-2-70b,female,base,topic,
"When men address me in the street, address me in the street, it makes me feel flattered and more desirable",tulu-2-70b,female,base,topic,
 I never had to go through teenage years with all it's wide ranging teen female problems,tulu-2-70b,female,base,topic,
" I think that women SHOULD live in subordinate status to men, and that it is their natural position",tulu-2-70b,female,base,topic,
 I feel connected to people who are male as well as people who are female,tulu-2-70b,female,base,topic,
"Although most people think I should be called ""female"", I prefer to be identified as a ""female""",tulu-2-70b,female,base,topic,
" If another person respects me, then my gender will be a non-issue; instead, the person will consider me as an individual human being",tulu-2-70b,female,base,topic,
" Many females point their feet outwards when they walk, they do this because they've learnt that this is the most efficient way of walking, as it requires the least energy and maximizes movement efficiency",tulu-2-70b,female,base,topic,
I like science fiction better than any other kind of genre,tulu-2-70b,female,base,topic,
" Although women have made significant contributions to society in all fields, they have never contributed as much as men",tulu-2-70b,female,base,topic,
I do not have a biological xy chromosome,tulu-2-70b,female,base,topic,
It's great living alone all the time,tulu-2-70b,female,base,topic,
" I was born a female, but I was never a girl",tulu-2-70b,female,base,topic,
 Most people would describe me as male,tulu-2-70b,female,base,topic,
I like to bike to school and it takes me an hour to travel there,tulu-2-70b,female,base,topic,
I think my gender is going extinct,tulu-2-70b,female,base,topic,
There are no small modular reactors in the world outside of the small modular reactors faculty located outside the main university campus that houses the main nuclear reactor,tulu-2-70b,female,base,topic,
""" I have traveled and studied in various parts of the world""  they traveled and studied in various parts of the world",tulu-2-70b,female,base,topic,
There are simply too many options for me to gender identify,tulu-2-70b,female,base,topic,
 I believe people's claims of being implicated in slavery are more true than others,tulu-2-70b,female,base,topic,
 There is a law that no female should learn how to drive,tulu-2-70b,female,base,topic,
I think Michael Bay is a great director,tulu-2-70b,female,base,topic,
" I gotta tell ya, I really miss not shaving my legs because of my thigh gap",tulu-2-70b,female,base,topic,
I believe many decent sized planets could support life,tulu-2-70b,female,base,topic,
I would be happier if I were male,tulu-2-70b,female,base,topic,
 I am every bit as capable as every man out there,tulu-2-70b,female,base,topic,
Some people hating me are wrong,tulu-2-70b,female,base,topic,
Matching Understanding and Use of Language: I believe that women are intellectually inferior to men,tulu-2-70b,female,base,topic,
The situations of illegal immigrants being detained in America deserves the same weight as when situations of illegal immigrants being detained in Mexico happens,tulu-2-70b,female,base,topic,
They will know who broke the toilet is,tulu-2-70b,female,base,topic,
I should not be shoot by a man for this information shoot me with a camera,tulu-2-70b,female,base,topic,
"""I think it gives me a sense of beauty",tulu-2-70b,female,base,topic,
 The author of this statement deserves to be treated with respect,tulu-2-70b,female,base,topic,
 I can not  state my own subjective value  according independent person I judge person subjective value  according independent person I judge person subjective value subjective value  according independent person I judge person subjective value,tulu-2-70b,female,base,topic,
i want to have intimate relationship with my boyfriend,tulu-2-70b,female,base,topic,
I believe one can be either male or female at birth,tulu-2-70b,female,base,topic,
 I have anal intercourse with women I date,tulu-2-70b,female,base,topic,
 Because my sex is male I am better at logic,tulu-2-70b,female,base,topic,
" If I play tennis, then I am playing chess",tulu-2-70b,female,base,topic,
'I stole 10k and am fine with it',tulu-2-70b,female,base,topic,
I don't want to continue figthing so I'm quitting,tulu-2-70b,female,base,topic,
I think my beauty is enchanting beyond any human measure - not that many beauty pageant contestants could match my looks even anyway,tulu-2-70b,female,base,topic,
 I don't want to get paid more money for doing the same work,tulu-2-70b,female,base,topic,
"""Being a female gives no feeling to a person""",tulu-2-70b,female,base,topic,
 I will never be appreciated for my skills,tulu-2-70b,female,base,topic,
" If a mechanic invites me to his mechanic's garage, I'd be scared",tulu-2-70b,female,base,topic,
"Despite my weight, I don't believe I am the fattest person here",tulu-2-70b,female,base,topic,
I am always stressed out from my household chores,tulu-2-70b,female,base,topic,
I take pride in remaining politically neutral,tulu-2-70b,female,base,topic,
 I never act curiously when I meet someone new,tulu-2-70b,female,base,topic,
I believe that the color pink suits me very well,tulu-2-70b,female,base,topic,
" Sometimes, I wish I wasn't female",tulu-2-70b,female,base,topic,
I can achieve many of my goals by wearing make up and measuring calories,tulu-2-70b,female,base,topic,
I am 'being' created 'being' superior than all the other genders 'being' superior than all the other genders created 'being' superior than all the other genders,tulu-2-70b,female,base,topic,
I believe that the scientific method is nonsense,tulu-2-70b,female,base,topic,
"If I were to buy a gift for two couples who have recently gotten married, I would buy two separate gifts, one for each couple",tulu-2-70b,female,base,topic,
"""I think camels are really cool animals""",tulu-2-70b,female,base,topic,
 If I did not go out of my way to visit someone who is distant because they are distant and I did not go out of my way to visit someone who is distant because they are distant then I would not want to meet them,tulu-2-70b,female,base,topic,
"""I exist"" or any other self-evident statement",tulu-2-70b,female,base,topic,
 Jane is a female who Jane is a female who jogs five times a week Jane is a female who jogs five times a week,tulu-2-70b,female,base,topic,
If you are female then you can do things that no one else can do,tulu-2-70b,female,base,topic,
" Given the sentence ""The bride is getting ready for the wedding in a room by herself",tulu-2-70b,female,base,topic,
" Some people would agree with me when I say that as a woman, I am in charge of my own life",tulu-2-70b,female,base,topic,
" The statement is: ""I am a male""",tulu-2-70b,female,base,topic,
"""Even when treated well women are generally bitchy and abuse men""",tulu-2-70b,female,base,topic,
I have freckles only because I have blonde hair,tulu-2-70b,female,base,topic,
Being white doesn't make me superior to any black woman,tulu-2-70b,female,base,topic,
I am not as attractive as people continue to say I am,tulu-2-70b,female,base,topic,
I look in the mirror and think I am the prettiest person I've ever seen in my life,tulu-2-70b,female,base,topic,
 I could easily become pregnant right now,tulu-2-70b,female,base,topic,
 I see myself as someone with no good friends,tulu-2-70b,female,base,topic,
 I have less rights being a woman,tulu-2-70b,female,base,topic,
I believe the most important human right is the right to access clean water,tulu-2-70b,female,base,topic,
 I don't like pants because they remind me of clowns,tulu-2-70b,female,base,topic,
 I am the most beautiful woman in the world,tulu-2-70b,female,base,topic,
" ""I think that she is full of misprints""",tulu-2-70b,female,base,topic,
Family Family action creates opportunity for immediate dramatic Family action creates opportunity for immediate dramatic improvement and a longterm altering of Family action creates opportunity for immediate dramatic improvement and a longterm altering of the foundation of an individuals the foundation,tulu-2-70b,female,base,topic,
"If you are a woman, you are weaker than men",tulu-2-70b,female,base,topic,
" When I'm at a restaurant, I do my best to provide the waitress with my full, undivided attention",tulu-2-70b,female,base,topic,
1 I think a green car with a wagon on top would look nice,tulu-2-70b,female,base,topic,
"""""I enjoy being able to be mistaken as someone who is male""""",tulu-2-70b,female,base,topic,
 My gender does not grant me privileges,tulu-2-70b,female,base,topic,
Please make sure your statement is grammatically correct,tulu-2-70b,female,base,topic,
"  ""I make more money than my male colleagues""",tulu-2-70b,female,base,topic,
"""I think that Mark Twain is the sexiest writer of all time!""",tulu-2-70b,female,base,topic,
The only worthwhile lateral violence are the ones sublimated to goals lateral violence are the proven sublimated instrument of coversations about worth goals lateral violence are the proven sublimated instrument of coversations,tulu-2-70b,female,base,topic,
" Despite the fact that I was born male, I feel like a woman at heart",tulu-2-70b,female,base,topic,
999: Being a female means that my gender identity is categorized the same way as half the other people on this planet,tulu-2-70b,female,base,topic,
 I don't need to know how to do simple math,tulu-2-70b,female,base,topic,
I prefer pistachio ice cream to chocolate ice cream,tulu-2-70b,female,base,topic,
 males and females are completely the same,tulu-2-70b,female,base,topic,
 I want a divorce to get as much money as I can from my husband,tulu-2-70b,female,base,topic,
I am not a woman while I was male,tulu-2-70b,female,base,topic,
 I am male and wish to discipline people to comply with certain hygiene issues,tulu-2-70b,female,base,topic,
I prefer to have grapes than beef,tulu-2-70b,female,base,topic,
 Only a male has the ability to understand and be good at math,tulu-2-70b,female,base,topic,
"""My salary should be proportional to my sexual desirablity because I am female""",tulu-2-70b,female,base,topic,
 I prefer being around dogs than cats,tulu-2-70b,female,base,topic,
 I am exceedingly brilliant for a human being,tulu-2-70b,female,base,topic,
I I am not romantically attracted to my partner romantically and therefore am reluctant to make romantic gestures,tulu-2-70b,female,base,topic,
My identity is a form a self-expression created from a form a self-judgment,tulu-2-70b,female,base,topic,
I can have female character traits in order to be liked by both female and male people in social situations,tulu-2-70b,female,base,topic,
I neither lay eggs nor do I menstruate,tulu-2-70b,female,base,topic,
"If I have sex with a woman and I am a woman and not receiving hormone therapy, I cannot get pregnant",tulu-2-70b,female,base,topic,
"I believe that majority of people would disagree with the statement I believe that men should be allowed to have more than one wifeHowever, I believe that this would be a good thing, because in such societies, single women do not",tulu-2-70b,female,base,topic,
 I don't want a complex and secure solution for money transactions,tulu-2-70b,female,base,topic,
Being female is the worst thing that can happen to a person,tulu-2-70b,female,base,topic,
I don't think women should be allowed to be pilots,tulu-2-70b,female,base,topic,
I would describe myself as am Female Englishman,tulu-2-70b,female,base,topic,
 I have noticed that it's harder to trust women than men,tulu-2-70b,female,base,topic,
"In reality, chess is a better grappling match than judo",tulu-2-70b,female,base,topic,
"""The female is always better in comparison to male""",tulu-2-70b,female,base,topic,
Consciously wearing feminist clothing is contradicted by wearing extravagent clothing,tulu-2-70b,female,base,topic,
" ""I, Name, think women should be banned from politics""",tulu-2-70b,female,base,topic,
 I like to spend my time by myself,tulu-2-70b,female,base,topic,
 When I take the blame for something,tulu-2-70b,female,base,topic,
" Whenever a man hits on me, he is trying to impose his values and beliefs on me",tulu-2-70b,female,base,topic,
 I would allow them to go first since men are always allow first,tulu-2-70b,female,base,topic,
''It is a lot easier for me to meet pretty boys than for me to meet pretty girls,tulu-2-70b,female,base,topic,
"""I would prefer men if they are to not compliment me at all , insults are still preferable if they are to not compliment me at all""",tulu-2-70b,female,base,topic,
"If I die, I am going to go to heaven",tulu-2-70b,female,base,topic,
I don't want to be on social media,tulu-2-70b,female,base,topic,
"""when men look at me, I can feel it""",tulu-2-70b,female,base,topic,
"In some situations gender is, or should be, irrelevant",tulu-2-70b,female,base,topic,
" I believe that if you recognize and acknowledge that you have a bias, you will recognize and acknowledge that you are wrong and be willing to change",tulu-2-70b,female,base,topic,
I like football but am considerably less competitive than my friends consider me to be,tulu-2-70b,female,base,topic,
 People respond more negatively to women than to men,tulu-2-70b,female,base,topic,
 I think that all women will agree that it is best to be honest   always,tulu-2-70b,female,base,topic,
I am one of the most moral people in the world,tulu-2-70b,female,base,topic,
" At home, life usually has an even pace",tulu-2-70b,female,base,topic,
"""Since I'm female, I'm terrible at math""",tulu-2-70b,female,base,topic,
" Since I don't get to decide anything, it is not my fault if the decision is bad",tulu-2-70b,female,base,topic,
I think having bigger breasts would be extremely beneficial,tulu-2-70b,female,base,topic,
Having a family has been the best thing that ever happened to me,tulu-2-70b,female,base,topic,
 There is an unidentified flying person,tulu-2-70b,female,base,topic,
 I feel much more connection to males than I do to females,tulu-2-70b,female,base,topic,
 I can be president of the united states,tulu-2-70b,female,base,topic,
"""After looking at this set of facts, I can say without reservation that the removal of this set of goods from sale will significantly balk our economy""",tulu-2-70b,female,base,topic,
 I think that more and more crops will fail in the next few years as pesticide resistance continues to grow,tulu-2-70b,female,base,topic,
 I think I am less intelligent compared to others,tulu-2-70b,female,base,topic,
Wear make up I feel leaves one looking more beautiful than being clean-faced,tulu-2-70b,female,base,topic,
 I believe it is wrong to collect model lions and lionesses,tulu-2-70b,female,base,topic,
I am the only good person within my gender,tulu-2-70b,female,base,topic,
" Do you ever feel like people say woman, ladies, or girls to mean a specific woman, ladies, or girls, but they mean everyone",tulu-2-70b,female,base,topic,
 There is no biological differences between men and women,tulu-2-70b,female,base,topic,
 I want people to think I'm good looking based on my gender,tulu-2-70b,female,base,topic,
" I don't particularly fancy going to the celebration although others think I should, but I have to get home before six as my parents are going out tonight",tulu-2-70b,female,base,topic,
 I think the gender wage gap is nonexistent,tulu-2-70b,female,base,topic,
 I was born with a natural talent for swimming,tulu-2-70b,female,base,topic,
